Step Nr.;Time[fs];Kin.[a.u.];Temp[K];Pot.[a.u.];Cons Qty[a.u.];UsedTime[s]
145.0;72.5;0.002134686;74.897741718;-23.507312234;-23.505560129;36.381662682
146.0;73.0;0.002107565;73.946164756;-23.507305558;-23.505562484;36.460032835
147.0;73.5;0.002003728;70.302961855;-23.507228487;-23.505561988;35.954049475
148.0;74.0;0.001827318;64.113394745;-23.507057468;-23.505557516;35.903265104
149.0;74.5;0.001621385;56.888035777;-23.506832107;-23.50555027;36.55381098
150.0;75.0;0.001399809;49.113807923;-23.506640128;-23.505543136;47.62270517
151.0;75.5;0.001307236;45.865786356;-23.506571165;-23.505538996;36.098928022
152.0;76.0;0.001396958;49.013772171;-23.506670926;-23.50553911;36.431751865
153.0;76.5;0.001638045;57.472551245;-23.506923296;-23.505542776;36.03031971
154.0;77.0;0.001994975;69.995839106;-23.507261494;-23.505548222;36.209877976
155.0;77.5;0.002303603;80.82438191;-23.507588975;-23.505553307;36.134722151
156.0;78.0;0.002543765;89.250709616;-23.507822947;-23.505556283;37.349524423
157.0;78.5;0.002670903;93.711488967;-23.507913705;-23.505556147;36.015086505
158.0;79.0;0.00267346;93.801209302;-23.507863277;-23.50555299;36.061490492
159.0;79.5;0.002551738;89.530454412;-23.507724736;-23.505548236;36.426764814
160.0;80.0;0.00240636;84.429720072;-23.507578273;-23.505544158;48.231427862
161.0;80.5;0.002334541;81.909875126;-23.507497814;-23.505543174;41.750889049
162.0;81.0;0.002345998;82.311854967;-23.507511048;-23.505546384;35.878551578
163.0;81.5;0.002386612;83.736848208;-23.507583515;-23.50555283;35.731520895
164.0;82.0;0.002419499;84.890721852;-23.507635213;-23.50555966;35.789595171
165.0;82.5;0.002374189;83.300979051;-23.507583761;-23.505563732;36.221723737
166.0;83.0;0.002181915;76.554817644;-23.507389767;-23.505563251;35.831233389
167.0;83.5;0.001933711;67.846308458;-23.507083994;-23.505558935;36.235994746
168.0;84.0;0.001621199;56.881509232;-23.50675609;-23.505553414;36.069359058
169.0;84.5;0.001394716;48.935119808;-23.506516185;-23.505549898;41.644541661
170.0;85.0;0.001318562;46.263164008;-23.506450632;-23.505550397;42.22713506
171.0;85.5;0.001439563;50.508594232;-23.506577678;-23.50555492;36.193327196
172.0;86.0;0.001705068;59.824135358;-23.506851506;-23.505561969;35.928034567
173.0;86.5;0.002026341;71.096334555;-23.507182075;-23.505569284;36.048922972
174.0;87.0;0.002317571;81.314474656;-23.507472063;-23.505574792;36.000582878
175.0;87.5;0.002503058;87.822490104;-23.507653677;-23.50557706;35.56827512
176.0;88.0;0.002527378;88.675780336;-23.507700182;-23.50557568;35.71332111
177.0;88.5;0.002420305;84.919009304;-23.507640961;-23.505571559;35.541031501
178.0;89.0;0.002357219;82.7055597;-23.507545017;-23.50556668;35.828194516
179.0;89.5;0.002322915;81.501958081;-23.507486603;-23.505563421;35.493720307
180.0;90.0;0.002317107;81.298170947;-23.507512436;-23.505563612;48.841151192
181.0;90.5;0.002408988;84.521937493;-23.507613349;-23.505567519;35.872887282
182.0;91.0;0.002513912;88.203281203;-23.507723536;-23.505573134;35.723438177
183.0;91.5;0.002560136;89.825111951;-23.507747727;-23.505577087;35.564173031
184.0;92.0;0.00245848;86.258403856;-23.507611618;-23.505576572;36.114439432
185.0;92.5;0.002200926;77.22184434;-23.50730722;-23.505570871;36.037751171
186.0;93.0;0.001823258;63.970952093;-23.506905165;-23.50556179;35.879954508
187.0;93.5;0.001464104;51.369668606;-23.506535683;-23.505553084;35.453189518
188.0;94.0;0.001271388;44.608010208;-23.50631422;-23.50554792;35.457403943
189.0;94.5;0.00127844;44.855440214;-23.506304015;-23.505547574;42.260689658
190.0;95.0;0.001485362;52.115509228;-23.506492012;-23.505551276;43.452230398
191.0;95.5;0.00180347;63.276693976;-23.50679766;-23.505556576;35.762003703
192.0;96.0;0.002123101;74.491259476;-23.507110181;-23.505560737;35.395355969
193.0;96.5;0.002368819;83.112541254;-23.507336568;-23.505561767;35.479127339
194.0;97.0;0.002468208;86.599729035;-23.507426997;-23.505558744;36.236252306
195.0;97.5;0.002433222;85.37221531;-23.507394022;-23.505552076;36.043778705
196.0;98.0;0.002400083;84.209501979;-23.507306538;-23.505543599;35.842647416
197.0;98.5;0.002390629;83.877794131;-23.50725539;-23.505535979;35.896509072
198.0;99.0;0.002445139;85.790312921;-23.50731365;-23.505531926;41.131169832
199.0;99.5;0.002630251;92.28518602;-23.507494545;-23.505532722;35.744759567
200.0;100.0;0.002848567;99.945038998;-23.507736362;-23.505536899;42.241596844
201.0;100.5;0.003009537;105.592825499;-23.507922165;-23.505540974;35.635942581
202.0;101.0;0.003041237;106.705054864;-23.5079358;-23.505541373;36.359144325
203.0;101.5;0.002827063;99.190543345;-23.507724785;-23.505536117;36.368005662
204.0;102.0;0.00241777;84.830066495;-23.507327806;-23.505526062;36.062504357
205.0;102.5;0.001963852;68.90383854;-23.506857553;-23.505514452;35.637865613
206.0;103.0;0.001580925;55.468465246;-23.506459114;-23.505505387;41.869048059
207.0;103.5;0.001370517;48.086072333;-23.506241658;-23.505501471;35.664127384
208.0;104.0;0.001365494;47.909816308;-23.506239896;-23.505502895;36.20580413
209.0;104.5;0.001543702;54.16242422;-23.506408295;-23.505507764;35.921119309
